Name,Description,Block
SM09_EA(dm),spectral moment of order 9 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM10_EA(dm),spectral moment of order 10 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM11_EA(dm),spectral moment of order 11 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM12_EA(dm),spectral moment of order 12 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM13_EA(dm),spectral moment of order 13 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM14_EA(dm),spectral moment of order 14 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM15_EA(dm),spectral moment of order 15 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM02_EA(ri),spectral moment of order 2 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM03_EA(ri),spectral moment of order 3 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM04_EA(ri),spectral moment of order 4 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM05_EA(ri),spectral moment of order 5 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM06_EA(ri),spectral moment of order 6 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM07_EA(ri),spectral moment of order 7 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM08_EA(ri),spectral moment of order 8 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM09_EA(ri),spectral moment of order 9 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM10_EA(ri),spectral moment of order 10 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM11_EA(ri),spectral moment of order 11 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM12_EA(ri),spectral moment of order 12 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM13_EA(ri),spectral moment of order 13 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM14_EA(ri),spectral moment of order 14 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM15_EA(ri),spectral moment of order 15 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM02_AEA(ed),spectral moment of order 2 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM03_AEA(ed),spectral moment of order 3 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM04_AEA(ed),spectral moment of order 4 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM05_AEA(ed),spectral moment of order 5 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM06_AEA(ed),spectral moment of order 6 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM07_AEA(ed),spectral moment of order 7 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM08_AEA(ed),spectral moment of order 8 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM09_AEA(ed),spectral moment of order 9 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM10_AEA(ed),spectral moment of order 10 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM11_AEA(ed),spectral moment of order 11 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM12_AEA(ed),spectral moment of order 12 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM13_AEA(ed),spectral moment of order 13 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM14_AEA(ed),spectral moment of order 14 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM15_AEA(ed),spectral moment of order 15 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM02_AEA(bo),spectral moment of order 2 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM03_AEA(bo),spectral moment of order 3 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM04_AEA(bo),spectral moment of order 4 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM05_AEA(bo),spectral moment of order 5 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM06_AEA(bo),spectral moment of order 6 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM07_AEA(bo),spectral moment of order 7 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM08_AEA(bo),spectral moment of order 8 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM09_AEA(bo),spectral moment of order 9 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM10_AEA(bo),spectral moment of order 10 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM11_AEA(bo),spectral moment of order 11 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM12_AEA(bo),spectral moment of order 12 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM13_AEA(bo),spectral moment of order 13 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM14_AEA(bo),spectral moment of order 14 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM15_AEA(bo),spectral moment of order 15 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SM02_AEA(dm),spectral moment of order 2 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM03_AEA(dm),spectral moment of order 3 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM04_AEA(dm),spectral moment of order 4 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM05_AEA(dm),spectral moment of order 5 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM06_AEA(dm),spectral moment of order 6 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM07_AEA(dm),spectral moment of order 7 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM08_AEA(dm),spectral moment of order 8 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM09_AEA(dm),spectral moment of order 9 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM10_AEA(dm),spectral moment of order 10 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM11_AEA(dm),spectral moment of order 11 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM12_AEA(dm),spectral moment of order 12 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM13_AEA(dm),spectral moment of order 13 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM14_AEA(dm),spectral moment of order 14 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM15_AEA(dm),spectral moment of order 15 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM02_AEA(ri),spectral moment of order 2 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM03_AEA(ri),spectral moment of order 3 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM04_AEA(ri),spectral moment of order 4 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM05_AEA(ri),spectral moment of order 5 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM06_AEA(ri),spectral moment of order 6 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM07_AEA(ri),spectral moment of order 7 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM08_AEA(ri),spectral moment of order 8 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM09_AEA(ri),spectral moment of order 9 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM10_AEA(ri),spectral moment of order 10 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM11_AEA(ri),spectral moment of order 11 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM12_AEA(ri),spectral moment of order 12 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM13_AEA(ri),spectral moment of order 13 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM14_AEA(ri),spectral moment of order 14 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM15_AEA(ri),spectral moment of order 15 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig01_EA,eigenvalue n. 1 from edge adjacency mat.,Edge adjacency indices
Eig02_EA,eigenvalue n. 2 from edge adjacency mat.,Edge adjacency indices
Eig03_EA,eigenvalue n. 3 from edge adjacency mat.,Edge adjacency indices
Eig04_EA,eigenvalue n. 4 from edge adjacency mat.,Edge adjacency indices
Eig05_EA,eigenvalue n. 5 from edge adjacency mat.,Edge adjacency indices
Eig06_EA,eigenvalue n. 6 from edge adjacency mat.,Edge adjacency indices
Eig07_EA,eigenvalue n. 7 from edge adjacency mat.,Edge adjacency indices
Eig08_EA,eigenvalue n. 8 from edge adjacency mat.,Edge adjacency indices
Eig09_EA,eigenvalue n. 9 from edge adjacency mat.,Edge adjacency indices
Eig10_EA,eigenvalue n. 10 from edge adjacency mat.,Edge adjacency indices
Eig11_EA,eigenvalue n. 11 from edge adjacency mat.,Edge adjacency indices
Eig12_EA,eigenvalue n. 12 from edge adjacency mat.,Edge adjacency indices
Eig13_EA,eigenvalue n. 13 from edge adjacency mat.,Edge adjacency indices
Eig14_EA,eigenvalue n. 14 from edge adjacency mat.,Edge adjacency indices
Eig15_EA,eigenvalue n. 15 from edge adjacency mat.,Edge adjacency indices
Eig01_EA(ed),eigenvalue n. 1 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig02_EA(ed),eigenvalue n. 2 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig03_EA(ed),eigenvalue n. 3 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig04_EA(ed),eigenvalue n. 4 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig05_EA(ed),eigenvalue n. 5 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig06_EA(ed),eigenvalue n. 6 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig07_EA(ed),eigenvalue n. 7 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig08_EA(ed),eigenvalue n. 8 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig09_EA(ed),eigenvalue n. 9 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig10_EA(ed),eigenvalue n. 10 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig11_EA(ed),eigenvalue n. 11 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig12_EA(ed),eigenvalue n. 12 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig13_EA(ed),eigenvalue n. 13 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig14_EA(ed),eigenvalue n. 14 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig15_EA(ed),eigenvalue n. 15 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Eig01_EA(bo),eigenvalue n. 1 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig02_EA(bo),eigenvalue n. 2 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig03_EA(bo),eigenvalue n. 3 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig04_EA(bo),eigenvalue n. 4 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig05_EA(bo),eigenvalue n. 5 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig06_EA(bo),eigenvalue n. 6 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig07_EA(bo),eigenvalue n. 7 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig08_EA(bo),eigenvalue n. 8 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig09_EA(bo),eigenvalue n. 9 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig10_EA(bo),eigenvalue n. 10 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig11_EA(bo),eigenvalue n. 11 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig12_EA(bo),eigenvalue n. 12 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig13_EA(bo),eigenvalue n. 13 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig14_EA(bo),eigenvalue n. 14 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig15_EA(bo),eigenvalue n. 15 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Eig01_EA(dm),eigenvalue n. 1 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig02_EA(dm),eigenvalue n. 2 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig03_EA(dm),eigenvalue n. 3 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig04_EA(dm),eigenvalue n. 4 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig05_EA(dm),eigenvalue n. 5 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig06_EA(dm),eigenvalue n. 6 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig07_EA(dm),eigenvalue n. 7 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig08_EA(dm),eigenvalue n. 8 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig09_EA(dm),eigenvalue n. 9 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig10_EA(dm),eigenvalue n. 10 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig11_EA(dm),eigenvalue n. 11 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig12_EA(dm),eigenvalue n. 12 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig13_EA(dm),eigenvalue n. 13 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig14_EA(dm),eigenvalue n. 14 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig15_EA(dm),eigenvalue n. 15 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Eig01_EA(ri),eigenvalue n. 1 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig02_EA(ri),eigenvalue n. 2 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig03_EA(ri),eigenvalue n. 3 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig04_EA(ri),eigenvalue n. 4 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig05_EA(ri),eigenvalue n. 5 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig06_EA(ri),eigenvalue n. 6 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig07_EA(ri),eigenvalue n. 7 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig08_EA(ri),eigenvalue n. 8 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig09_EA(ri),eigenvalue n. 9 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig10_EA(ri),eigenvalue n. 10 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig11_EA(ri),eigenvalue n. 11 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Eig12_EA(ri),eigenvalue n. 12 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
